continent,country_code,latitude,longitude,temperature,max_temperature,min_temperature,humidity,wind_speed,precipitation,uv_index,condition,event_type,year,month,day
nar,MEX,17.70750857,-94.7287,26.5,30.8,23.8,87,11.2,14.17,7,Patchy light rain with thunder,EQ,2024,8,30
nar,USA,45.16067524,-122.4026667,21.7,31.7,13.3,32,8.6,0.0,8,Sunny,EQ,2024,8,30
nar,USA,45.661,-124.128333,15.9,20.6,11.7,64,16.9,0.0,6,Sunny,EQ,2024,8,29
nar,USA,35.902167,-95.156667,28.6,36.7,22.9,56,20.2,0.59,8,Cloudy,EQ,2024,8,29
nar,USA,62.2573,-141.6637,10.7,16.1,6.3,69,5.8,0.9,4,Overcast,EQ,2024,8,29
nar,USA,39.5222,-119.5123,22.4,30.6,14.3,17,15.8,0.0,8,Sunny,EQ,2024,8,29
nar,USA,39.37470857,-99.7871,27.5,35.8,20.1,49,40.0,7.28,8,Patchy rain possible,EQ,2024,8,29
nar,USA,60.2106,-143.5228,8.6,9.8,7.9,96,12.6,25.72,2,Light rain shower,EQ,2024,8,28
nar,USA,36.451333,-81.078833,24.8,32.1,19.5,54,7.6,0.17,8,Partly cloudy,EQ,2024,8,28
nar,USA,65.6697,-143.0319,11.9,14.1,9.3,72,11.2,1.91,3,Light rain shower,EQ,2024,8,28
nar,MEX,15.95400857,-99.915,26.7,28.5,24.7,84,14.8,20.05,6,Moderate or heavy rain shower,EQ,2024,8,27
nar,USA,33.252833,-81.701333,25.6,32.5,19.4,57,11.5,0.0,8,Sunny,EQ,2024,8,26
nar,CAN,57.06495141,-94.37444382,12.5,19.5,8.9,73,33.1,0.04,4,Patchy rain possible,WF,2024,8,26
nar,USA,66.2692,-149.2497,7.5,11.5,3.9,70,7.9,0.02,3,Patchy rain possible,EQ,2024,8,26
nar,USA,61.9195,-144.0485,-1.6,-0.1,-3.5,89,15.1,2.14,1,Light snow showers,EQ,2024,8,26
nar,CRI,8.563338941,-83.39239213,23.0,24.4,22.3,95,4.3,23.72,5,Light rain shower,EQ,2024,8,26
nar,MEX,14.47860857,-92.4238,27.3,30.0,25.1,77,10.8,4.87,7,Light rain shower,EQ,2024,8,26
nar,USA,32.6779678,-83.25075639,26.3,33.1,20.7,63,13.0,0.0,8,Sunny,FL,2024,8,26
nar,CAN,61.50770857,-140.4342,5.0,7.4,-1.2,86,8.6,1.74,2,Light drizzle,EQ,2024,8,25
nar,CRI,10.65170857,-86.4385,26.5,29.5,24.4,80,10.4,1.4,6,Light rain shower,EQ,2024,8,25
nar,USA,56.2746,-159.1811,7.9,9.1,6.8,78,38.2,1.46,2,Patchy rain possible,EQ,2024,8,25
nar,USA,67.4774,-158.1173,6.4,9.4,2.9,72,10.4,0.01,2,Overcast,EQ,2024,8,24
