date,event_name,lat,lng,continent,country_code,temperature,max_temperature,min_temperature,humidity,wind_speed,precipitation,uv_index,condition,event_type
30-08-2024,"M 4.9 - 3 km NE of Venustiano Carranza (Peña Blanca), Mexico",17.70750857,-94.7287,nar,MEX,26.5,30.8,23.8,87,11.2,14.17,7,Patchy light rain with thunder,EQ
30-08-2024,M 5.6 - Reykjanes Ridge,52.65470857,-33.2661,nar,GRL,Null,Null,Null,Null,Null,Null,Null,Null,EQ
30-08-2024,"M 2.7 - 14 km ESE of Molalla, Oregon",45.16067524,-122.4026667,nar,USA,21.7,31.7,13.3,32,8.6,0,8,Sunny,EQ
30-08-2024,Hurricane Gilma,20.44900857,-152.2,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,SW
29-08-2024,Tropical Cyclone GILMA-24,15.70073602,-118.3,nar,MEX,Null,Null,Null,Null,Null,Null,Null,Null,TC
29-08-2024,Tropical Cyclone HONE-24,15.4,-140.8,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,TC
29-08-2024,NEAR COAST OF OREGON,45.661,-124.128333,nar,USA,15.9,20.6,11.7,64,16.9,0,6,Sunny,EQ
29-08-2024,OKLAHOMA,35.902167,-95.156667,nar,USA,28.6,36.7,22.9,56,20.2,0.59,8,Cloudy,EQ
29-08-2024,Tropical Cyclone HECTOR-24,16.5,-125.8,nar,MEX,Null,Null,Null,Null,Null,Null,Null,Null,TC
29-08-2024,CENTRAL ALASKA,62.2573,-141.6637,nar,USA,10.7,16.1,6.3,69,5.8,0.9,4,Overcast,EQ
29-08-2024,NEVADA,39.5222,-119.5123,nar,USA,22.4,30.6,14.3,17,15.8,0,8,Sunny,EQ
29-08-2024,"M 2.5 - 6 km SE of Hill City, Kansas",39.37470857,-99.7871,nar,USA,27.5,35.8,20.1,49,40,7.28,8,Patchy rain possible,EQ
28-08-2024,SOUTHERN ALASKA,60.2106,-143.5228,nar,USA,8.6,9.8,7.9,96,12.6,25.72,2,Light rain shower,EQ
28-08-2024,Tropical Storm Hector,18.34900857,-132.4,nar,MEX,Null,Null,Null,Null,Null,Null,Null,Null,SW
28-08-2024,NORTH CAROLINA,36.451333,-81.078833,nar,USA,24.8,32.1,19.5,54,7.6,0.17,8,Partly cloudy,EQ
28-08-2024,NORTHERN ALASKA,65.6697,-143.0319,nar,USA,11.9,14.1,9.3,72,11.2,1.91,3,Light rain shower,EQ
27-08-2024,"M 4.7 - 92 km SSW of San Andrés Playa Encantada (El Podrido), Mexico",15.95400857,-99.915,nar,MEX,26.7,28.5,24.7,84,14.8,20.05,6,Moderate or heavy rain shower,EQ
26-08-2024,SOUTH CAROLINA,33.252833,-81.701333,nar,USA,25.6,32.5,19.4,57,11.5,0,8,Sunny,EQ
26-08-2024,Wildfire in Canada 1021827,57.06495141,-94.37444382,nar,CAN,12.5,19.5,8.9,73,33.1,0.04,4,Patchy rain possible,WF
26-08-2024,NORTHERN ALASKA,66.2692,-149.2497,nar,USA,7.5,11.5,3.9,70,7.9,0.02,3,Patchy rain possible,EQ
26-08-2024,SOUTHERN ALASKA,61.9195,-144.0485,nar,USA,-1.6,-0.1,-3.5,89,15.1,2.14,1,Light snow showers,EQ
26-08-2024,Earthquake in Costa Rica,8.563338941,-83.39239213,nar,CRI,23,24.4,22.3,95,4.3,23.72,5,Light rain shower,EQ
26-08-2024,"M 4.2 - 24 km WSW of Brisas Barra de Suchiate, Mexico",14.47860857,-92.4238,nar,MEX,27.3,30,25.1,77,10.8,4.87,7,Light rain shower,EQ
26-08-2024,Flood in United States,32.6779678,-83.25075639,nar,USA,26.3,33.1,20.7,63,13,0,8,Sunny,FL
25-08-2024,"M 2.5 - 132 km E of McCarthy, Alaska",61.50770857,-140.4342,nar,CAN,5,7.4,-1.2,86,8.6,1.74,2,Light drizzle,EQ
25-08-2024,"M 4.8 - 73 km WNW of Tamarindo, Costa Rica",10.65170857,-86.4385,nar,CRI,26.5,29.5,24.4,80,10.4,1.4,6,Light rain shower,EQ
25-08-2024,ALASKA PENINSULA,56.2746,-159.1811,nar,USA,7.9,9.1,6.8,78,38.2,1.46,2,Patchy rain possible,EQ
25-08-2024,Storms Line the Northeast Pacific,18.2940483,-134.5985115,nar,MEX,Null,Null,Null,Null,Null,Null,Null,Null,SW
24-08-2024,NORTHERN ALASKA,67.4774,-158.1173,nar,USA,6.4,9.4,2.9,72,10.4,0.01,2,Overcast,EQ
24-08-2024,"M 4.2 - 34 km WNW of Fox Creek, Canada",54.62030857,-117.2549,nar,CAN,12,14.1,9.1,93,20.2,11.11,3,Light rain shower,EQ
24-08-2024,ALABAMA,34.584333,-85.984,nar,USA,23.1,30.5,16.3,49,10.8,0,8,Sunny,EQ
24-08-2024,NORTHERN ALASKA,65.4521,-144.0966,nar,USA,8.1,10.4,5.1,77,14.4,2.69,3,Light rain shower,EQ
23-08-2024,"Sharrott Creek Wildfire, Ravalli, Montana",46.55770957,-114.18433,nar,USA,18.7,29.5,12.8,46,36,0.04,6,Patchy rain possible,WF
23-08-2024,MONTANA,47.4765,-115.816333,nar,USA,17.3,26.8,10.9,45,13.3,0.22,6,Patchy rain possible,EQ
23-08-2024,"M 4.0 - 132 km SW of Manuel Ávila Camacho (Ponte Duro), Mexico",14.87630857,-94.29,nar,MEX,26,31,21.9,78,11.2,1.36,7,Patchy rain possible,EQ
23-08-2024,"M 3.2 - 23 km N of Nelson Lagoon, Alaska",56.26110857,-161.1548,nar,USA,9.9,10.8,8.9,89,13.3,1.1,3,Light drizzle,EQ
22-08-2024,"Chalky Point Wildfire, Rosebud, Montana",45.77000857,-106.9085,nar,USA,23.4,30.3,16.4,42,23.8,0.32,8,Sunny,WF
22-08-2024,"RANGE 77 Wildfire, Nye, Nevada",37.29775857,-116.52825,nar,USA,24.4,30.9,18.3,13,46.1,0,8,Sunny,WF
22-08-2024,CENTRAL TEXAS,29.688,-98.252,nar,USA,32.1,39.5,26.1,52,28.8,5.64,8,Thundery outbreaks possible,EQ
22-08-2024,"Island Wildfire, Union, New Mexico",36.99763657,-103.644364,nar,USA,23.8,32.3,16.9,46,22.7,0.62,8,Partly cloudy,WF
22-08-2024,"RAT ISLANDS, ALEUTIAN ISLANDS",52.0455,178.364333,nar,USA,10.4,10.7,10.1,91,23,0,4,Partly cloudy,EQ
22-08-2024,"Sage Creek Wildfire, Pennington, South Dakota",43.94284157,-102.355533,nar,USA,28.5,34.4,24.3,43,43.2,0,8,Partly cloudy,WF
29-08-2024,Tropical Cyclone GILMA-24,18.5,-144.5,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,TC
29-08-2024,Tropical Cyclone HONE-24,18.8,-157.3,nar,USA,25.9,27.3,24.7,74,11.2,0.75,6,Patchy rain possible,TC
29-08-2024,Tropical Storm Hone,21.34900857,-172.1,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,SW
29-08-2024,Hurricane Gilma,20.14900857,-151.1,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,SW
22-08-2024,"GEORGIA, USA",32.2165,-81.947333,nar,USA,24.1,28,21.3,84,23,13.61,6,Light rain shower,EQ
20-08-2024,"M 4.3 - 12 km SSW of Cabeza de Toro, Mexico",15.88440857,-93.8359,nar,MEX,26,30.1,21.7,76,12.6,3.49,7,Patchy rain possible,EQ
20-08-2024,TENNESSEE,35.459833,-84.452833,nar,USA,20.2,26.8,15,65,18.4,0,6,Mist,EQ
20-08-2024,"M 2.6 - 88 km W of Point Sur, CA",36.16617524,-122.8561667,nar,USA,15.5,18.1,13,73,18.4,0,5,Sunny,EQ
20-08-2024,SOUTHEASTERN ALASKA,59.0244,-134.5398,nar,USA,11.6,13,10.3,80,13.3,0.27,3,Patchy rain possible,EQ
20-08-2024,"M 3.3 - 50 km ESE of Mud Bay, Alaska",59.07340857,-134.5398,nar,USA,11.6,13,10.3,80,13.3,0.27,3,Patchy rain possible,EQ
20-08-2024,Tropical Cyclone ERNESTO-24,14.4,-52.5,nar,BRB,Null,Null,Null,Null,Null,Null,Null,Null,TC
20-08-2024,Hurricane Ernesto,49.04900857,-44.7,nar,CAN,Null,Null,Null,Null,Null,Null,Null,Null,SW
20-08-2024,UTAH,37.9215,-111.2735,nar,USA,19,27.4,11.3,44,25.6,0,7,Partly cloudy,EQ
20-08-2024,"M 2.6 - 65 km NNW of Arctic Village, Alaska",68.68020857,-146.3412,nar,USA,4.9,7.6,1.7,66,22.3,0.01,3,Partly cloudy,EQ
28-08-2024,Tropical Cyclone GILMA-24,22.8,-160.6,nar,USA,25,26.7,23.4,73,10.1,0.93,6,Patchy rain possible,TC
28-08-2024,Tropical Cyclone HONE-24,26.5,-180,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,TC
28-08-2024,Tropical Storm Hone,20.64900857,-168.7,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,SW
28-08-2024,Hurricane Gilma,18.74900857,-145.1,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,SW
28-08-2024,Tropical Cyclone HECTOR-24,18.5,-133.7,nar,MEX,Null,Null,Null,Null,Null,Null,Null,Null,TC
19-08-2024,OKLAHOMA,34.9085,-98.860333,nar,USA,35.5,42.9,29.7,25,25.6,0,10,Partly cloudy,EQ
19-08-2024,"M 4.0 - 257 km SSW of Adak, Alaska",49.86200857,-178.3054,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,EQ
19-08-2024,"M 2.8 - 24 km WSW of Fort Davis, Texas",30.58800857,-104.147,nar,USA,26.2,31.8,20.4,38,27,0,8,Sunny,EQ
18-08-2024,"Hobson Wildfire, White Pine, Nevada",39.96750857,-115.401167,nar,USA,22.2,29.5,15,22,41.8,0,7,Sunny,WF
18-08-2024,"M 2.5 - 97 km WSW of Pelican, Alaska",57.83610857,-137.8396,nar,USA,14.6,18,11.3,77,7.2,0,5,Sunny,EQ
26-08-2024,Hurricane Gilma,18.04900857,-134.7,nar,MEX,Null,Null,Null,Null,Null,Null,Null,Null,SW
26-08-2024,Tropical Storm Hone,18.94900857,-157.9,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,SW
25-08-2024,Tropical Cyclone ONE-C-24,19.5,-165.9,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,TC
25-08-2024,Tropical Cyclone GILMA-24,18.60073602,-139.5,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,TC
18-08-2024,OREGON,44.5685,-122.635667,nar,USA,16.9,25,10.6,71,13,0.74,5,Fog,EQ
18-08-2024,"M 3.6 - 154 km ESE of Cordova, Alaska",60.05430857,-143.189,nar,USA,13.1,16.7,9.6,84,9.7,0.87,4,Overcast,EQ
18-08-2024,UTAH,39.298833,-109.470167,nar,USA,22.7,30.7,15.9,48,16.9,1.56,7,Patchy rain possible,EQ
18-08-2024,TEXAS-MEXICO BORDER REGION,30.8954,-105.815,nar,MEX,31.8,36,27.3,27,33.8,0,9,Sunny,EQ
18-08-2024,"M 2.7 - 38 km S of Porvenir, Mexico",30.94440857,-105.815,nar,MEX,31.8,36,27.3,27,33.8,0,9,Sunny,EQ
18-08-2024,"M 2.6 - 14 km NNE of Lyman, Washington",48.70450857,-122.0138333,nar,USA,12.5,16.2,10.5,91,6.1,9.51,4,Light rain shower,EQ
17-08-2024,OFF COAST OF SOUTHEASTERN ALASKA,58.8714,-139.5264,nar,USA,13.2,14.4,12.2,76,12.2,0.03,3,Overcast,EQ
17-08-2024,"M 2.6 - 49 km ESE of Plush, Oregon",42.2698419,-119.3611667,nar,USA,16.8,26.6,6.9,37,37.1,0,7,Sunny,EQ
17-08-2024,"M 3.0 - 71 km NE of Lime Village, Alaska",61.79550857,-154.3681,nar,USA,5.5,8.2,3.5,99,9.7,4.1,2,Light drizzle,EQ
16-08-2024,"Fish Creek Wildfire, Teton, Wyoming",43.72345857,-110.1454,nar,USA,14.3,24.3,5,45,25.9,0.16,6,Partly cloudy,WF
16-08-2024,OKLAHOMA,36.691,-96.705667,nar,USA,30.1,37.6,24.5,54,20.5,1.97,9,Sunny,EQ
22-08-2024,Hurricane Gilma,16.74900857,-124.2,nar,MEX,Null,Null,Null,Null,Null,Null,Null,Null,SW
20-08-2024,Tropical Cyclone GILMA-24,18.40073602,-128,nar,MEX,Null,Null,Null,Null,Null,Null,Null,Null,TC
20-08-2024,Flood in United States,35.60946265,-75.46830392,nar,USA,23.6,25.7,22.5,75,26.6,1.11,6,Cloudy,FL
16-08-2024,"Dirt Road Wildfire, King, Texas",33.46067524,-100.5010333,nar,USA,34.1,41.1,27.7,30,27.7,0.07,9,Patchy rain possible,WF
16-08-2024,"M 4.5 - 10 km NNE of Stony Hill, Jamaica",18.21920857,-76.7593,nar,JAM,28.5,32.1,25.5,75,16.6,1.6,7,Moderate rain at times,EQ
16-08-2024,"M 4.1 - 28 km NNE of The Valley, Anguilla",18.51250857,-62.9919,nar,AIA,28.5,28.8,28.2,74,26.3,0.02,7,Sunny,EQ
15-08-2024,UTAH,39.439833,-111.059,nar,USA,23.7,27.9,19.4,24,18.4,0,7,Sunny,EQ
15-08-2024,"Midway Pasture Wildfire, Wilbarger, Texas",34.00402857,-99.1963,nar,USA,35.6,41.7,30.8,30,33.8,0,10,Sunny,WF
15-08-2024,Wildfire in Canada 1021460,64.76291489,-123.3909094,nar,CAN,14.1,18.5,10.2,56,13.7,0,5,Partly cloudy,WF
15-08-2024,Tropical Cyclone AMPIL-24,44.20073602,167.5,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,TC
15-08-2024,OREGON,44.799,-123.758667,nar,USA,13.4,16.6,10.9,90,12.6,0.2,4,Fog,EQ
15-08-2024,UTAH,37.491667,-110.200333,nar,USA,24.9,29.9,19.5,26,23.4,0,7,Sunny,EQ
15-08-2024,"M 3.2 - 10 km ENE of Ipís, Costa Rica",10.06790857,-83.9366,nar,CRI,18.6,24.6,13.3,91,5.8,28.68,5,Moderate or heavy rain shower,EQ
15-08-2024,Flood in Mexico,23.2730516,-101.1087574,nar,MEX,21,25.9,17.2,63,24.8,1.8,6,Patchy rain possible,FL
15-08-2024,Ernesto Barrels Toward Bermuda,25.00691528,-70.34162352,nar,TCA,Null,Null,Null,Null,Null,Null,Null,Null,SW
14-08-2024,"M 4.3 - 7 km NNE of Rizo de Oro, Mexico",16.08970857,-92.4676,nar,MEX,19.4,24.5,14.7,85,10.4,12.13,5,Light rain shower,EQ
14-08-2024,NORTHERN CALIFORNIA,41.922167,-122.308333,nar,USA,18.4,29.1,9.4,52,23.4,0.01,7,Partly cloudy,EQ
14-08-2024,"M 2.9 - 13 km WSW of Quinton, Oklahoma",35.13267524,-95.50766667,nar,USA,31.2,38.9,25.2,53,19.1,0.99,8,Thundery outbreaks possible,EQ
14-08-2024,"M 2.6 - 127 km NNE of Chalkyitsik, Alaska",67.76640857,-142.6218,nar,USA,11.6,16.1,5.7,58,30.2,0,5,Partly cloudy,EQ
14-08-2024,"M 3.7 - 109 km WSW of Inuvik, Canada",68.19970857,-136.3126,nar,CAN,15.8,21,10.5,50,10.4,0,6,Sunny,EQ
14-08-2024,OHIO,41.6988,-81.4975,nar,USA,21.2,25.3,17.1,59,14,0,7,Sunny,EQ
14-08-2024,OFF COAST OF OREGON,42.293,-125.070833,nar,USA,13.4,16.9,10.1,84,10.4,0.01,5,Sunny,EQ
20-08-2024,Tropical Cyclone GILMA-24,18.55632925,-127.6728627,nar,MEX,Null,Null,Null,Null,Null,Null,Null,Null,TC
20-08-2024,Tropical Cyclone ERNESTO-24,49.49341324,-41.67857841,nar,GRL,Null,Null,Null,Null,Null,Null,Null,Null,TC
20-08-2024,Hurricane Ernesto,47.34900857,-50,nar,CAN,Null,Null,Null,Null,Null,Null,Null,Null,SW
20-08-2024,Hurricane Gilma,15.64900857,-117.8,nar,MEX,Null,Null,Null,Null,Null,Null,Null,Null,SW
13-08-2024,"M 3.0 - 198 km WSW of Pistol River, Oregon",41.91550857,-126.7271,nar,USA,13.2,17.1,9,77,11.5,0.01,4,Patchy rain possible,EQ
13-08-2024,SOUTHERN ALASKA,61.829333,-144.034333,nar,USA,4.3,8.6,-0.3,94,5,12.96,2,Light rain shower,EQ
13-08-2024,"M 3.6 - 56 km SE of Chiniak, Alaska",57.24300857,-151.7468,nar,USA,10.9,13.3,8.3,70,13.7,0,4,Sunny,EQ
13-08-2024,"M 2.5 - 21 km W of Carlsbad, New Mexico",32.47380857,-104.4585,nar,USA,31.3,37.6,25,32,34.9,0,9,Sunny,EQ
08-12-2024,"M 4.5 - 106 km SSE of Attu Station, Alaska",52.05370857,173.9294,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,EQ
08-12-2024,Wildfire in Canada 1021275,54.8544165,-95.16077757,nar,CAN,Null,Null,Null,Null,Null,Null,Null,Null,WF
08-12-2024,"M 2.9 - 185 km NNE of Yakutat, Alaska",61.21810857,-139.0077,nar,CAN,Null,Null,Null,Null,Null,Null,Null,Null,EQ
08-12-2024,Flood in Canada,45.55710305,-73.59386351,nar,CAN,Null,Null,Null,Null,Null,Null,Null,Null,FL
08-12-2024,EASTERN IDAHO,43.510833,-111.151667,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,EQ
17-08-2024,Hurricane Ernesto,31.44900857,-65.2,nar,BMU,26.7,27.8,25.6,91,105.5,142.39,6,Moderate or heavy rain shower,SW
16-08-2024,Tropical Cyclone ERNESTO-24,35.61777984,-63.50078717,nar,BMU,Null,Null,Null,Null,Null,Null,Null,Null,TC
15-08-2024,Flood in United States,40.2952519,-111.7011567,nar,USA,21.5,24.9,18.7,31,20.5,0,6,Sunny,FL
08-12-2024,"M 2.5 - 3 km NNW of Assaria, Kansas",38.75630857,-97.6153,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,EQ
08-11-2024,NORTHERN ALASKA,66.9917,-154.7888,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,EQ
08-11-2024,"M 3.2 - 113 km E of Chignik, Alaska",56.54910857,-156.6106,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,EQ
08-11-2024,WEST VIRGINIA,37.3455,-80.643667,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,EQ
08-11-2024,SOUTHERN ILLINOIS,38.0865,-88.383167,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,EQ
08-10-2024,"M 2.7 - 45 km ENE of Fort Bidwell, California",41.99740857,-119.6163,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,EQ
08-10-2024,NORTHERN ALASKA,68.0219,-151.0496,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,EQ
08-10-2024,Wildfire in Canada 1021234,57.39630275,-96.24970715,nar,CAN,Null,Null,Null,Null,Null,Null,Null,Null,WF
08-10-2024,"M 2.6 - 50 km S of Caliente, Nevada",37.21050857,-114.5268,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,EQ
08-10-2024,"M 3.8 - 145 km S of Akhiok, Alaska",55.69560857,-153.9526,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,EQ
08-10-2024,SOUTHERN ALASKA,59.9335,-159.4603,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,EQ
08-10-2024,"M 2.6 - 53 km NW of Rampart, Alaska",65.89460857,-150.9987,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,EQ
08-10-2024,"M 2.5 - 119 km SE of Chenega, Alaska",59.23430857,-146.805,nar,USA,Null,Null,Null,Null,Null,Null,Null,Null,EQ
08-10-2024,Northwest Territories Ablaze,62.59334083,-113.203125,nar,CAN,Null,Null,Null,Null,Null,Null,Null,Null,WF
08-09-2024,"M 3.0 Other Event - 33 km SE of Minto, Alaska",64.96830857,-148.9112,nar,USA,10.4,11.8,9.5,89,10.8,2.54,3,Light drizzle,EQ
